date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:35	44092/44092	---M--	200	added ('OK')	image/jpeg	etag:%22fc09dcbcc651a6e1b2eee4e5104d0300-ssl%22	https://kalvin.netlify.com/images/promo/promo-slider.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-slider.jpg	(from https://kalvin.netlify.com/index.html)
15:39:36	32870/32870	---M-Z	200	added ('OK')	text/html	etag:%2242a750fec44eb63ddcd1e90d7558ce23-ssl-df%22	https://kalvin.netlify.com/index-ripples.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-ripples.html	(from https://kalvin.netlify.com/index.html)
15:39:37	32720/32720	---M-Z	200	added ('OK')	text/html	etag:%22d5207e35d20c63715f2bb8a4607e33e6-ssl-df%22	https://kalvin.netlify.com/index-videobg.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-videobg.html	(from https://kalvin.netlify.com/index.html)
15:39:38	25281/25281	---M--	200	added ('OK')	image/jpeg	etag:%22efa058b3b4f4ae786c803acac36285c5-ssl%22	https://kalvin.netlify.com/images/promo/promo-videobg.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-videobg.jpg	(from https://kalvin.netlify.com/index.html)
15:39:39	32887/32887	---M-Z	200	added ('OK')	text/html	etag:%22ebf82c1391ff9015acc988c5c09f9f04-ssl-df%22	https://kalvin.netlify.com/index-creative1.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-creative1.html	(from https://kalvin.netlify.com/index.html)
15:39:40	38706/38706	---M--	200	added ('OK')	image/jpeg	etag:%22c43adf2ad5b1c4b59d9f660ca6cfce4f-ssl%22	https://kalvin.netlify.com/images/promo/promo-creative1.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-creative1.jpg	(from https://kalvin.netlify.com/index.html)
15:39:41	32833/32833	---M-Z	200	added ('OK')	text/html	etag:%2258bc7bc5a563e8c29c3756198fb1dfd2-ssl-df%22	https://kalvin.netlify.com/index-creative2.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-creative2.html	(from https://kalvin.netlify.com/index.html)
15:39:42	39978/39978	---M--	200	added ('OK')	image/jpeg	etag:%229f7300c1ab9ff3b5f8c691279651ac4d-ssl%22	https://kalvin.netlify.com/images/promo/promo-creative2.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-creative2.jpg	(from https://kalvin.netlify.com/index.html)
15:39:43	32901/32901	---M-Z	200	added ('OK')	text/html	etag:%22f56a14ce0ea2ec26fe79f9829a6e9322-ssl-df%22	https://kalvin.netlify.com/index-creative3.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-creative3.html	(from https://kalvin.netlify.com/index.html)
15:39:44	43148/43148	---M--	200	added ('OK')	image/jpeg	etag:%220e15bc5c2920303c1d4f7b1c19ab77ec-ssl%22	https://kalvin.netlify.com/images/promo/promo-creative3.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-creative3.jpg	(from https://kalvin.netlify.com/index.html)
15:39:45	32895/32895	---M-Z	200	added ('OK')	text/html	etag:%22ad339ea85c6765aa799c78c18755ce12-ssl-df%22	https://kalvin.netlify.com/index-creative4.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-creative4.html	(from https://kalvin.netlify.com/index.html)
